#x  FES  der_FES_x
-0.813813813814 4.77446527338 -8.1182773989
-0.807807807808 4.7256951643 -8.10946005963
-0.801801801802 4.67705434173 -8.07630306129
-0.795795795796 4.62868251492 -8.02091399404
-0.78978978979 4.58070702649 -7.94529540073
-0.783783783784 4.53324353112 -7.85133209821
-0.777777777778 4.48639673102 -7.74078425101
-0.771771771772 4.44026113772 -7.61528496673
-0.765765765766 4.39492183652 -7.47634133704
-0.75975975976 4.35045523577 -7.32533801152
-0.753753753754 4.30692978833 -7.16354255106
-0.747747747748 4.2644066766 -6.99211195373
-0.741741741742 4.22294045556 -6.81209987563
-0.735735735736 4.18257965107 -6.62446418
-0.72972972973 4.14336731225 -6.43007454026
-0.723723723724 4.10534151845 -6.22971989803
-0.717717717718 4.06853584201 -6.02411563757
-0.711711711712 4.03297976905 -5.81391038517
-0.705705705706 3.99869908062 -5.59969237847
-0.6996996997 3.96571619694 -5.38199537801
-0.693693693694 3.93405048749 -5.16130411361
-0.687687687688 3.90371854993 -4.93805927235
-0.681681681682 3.8747344602 -4.71266204534
-0.675675675676 3.84710999683 -4.4854782566
-0.66966966967 3.8208548415 -4.25684210168
-0.663663663664 3.79597675837 -4.02705952553
-0.657657657658 3.77248175411 -3.79641127
-0.651651651652 3.75037422059 -3.56515562077
-0.645645645646 3.72965706197 -3.33353088294
-0.63963963964 3.71033180758 -3.1017576127
-0.633633633634 3.69239871226 -2.8700406313
-0.627627627628 3.67585684505 -2.63857084528
-0.621621621622 3.66070416758 -2.40752689571
-0.615615615616 3.64693760306 -2.17707665685
-0.60960960961 3.63455309662 -1.94737860354
-0.603603603604 3.62354566788 -1.71858306454
-0.597597597598 3.61390945621 -1.49083337813
-0.591591591592 3.60563775943 -1.26426696459
-0.585585585586 3.59872306624 -1.03901632929
-0.57957957958 3.5931570828 -0.815210008999
-0.573573573574 3.58893075382 -0.592973473347
-0.567567567568 3.58603427832 -0.372429992334
-0.561561561562 3.58445712028 -0.153701480561
-0.555555555556 3.58418801429 0.0630906718793
-0.54954954955 3.58521496619 0.277824772148
-0.543543543544 3.58752524879 0.49037799164
-0.537537537538 3.59110539251 0.700625517918
-0.531531531532 3.59594117093 0.908439682437
-0.525525525526 3.60201758089 1.11368905485
-0.51951951952 3.60931881723 1.31623749466
-0.513513513514 3.61782824149 1.51594315082
-0.507507507508 3.62752834457 1.71265739985
-0.501501501502 3.63840070275 1.90622371269
-0.495495495495 3.6504259267 2.09647644061
-0.489489489489 3.66358360294 2.28323951019
-0.483483483483 3.67785222712 2.46632501762
-0.477477477477 3.69320912867 2.64553171239
-0.471471471471 3.70963038583 2.82064336118
-0.465465465465 3.72709073061 2.99142698305
-0.459459459459 3.74556344269 3.15763094817
-0.453453453453 3.76502023149 3.3189829339
-0.447447447447 3.78543110556 3.475187734
-0.441441441441 3.80676422829 3.62592491975
-0.435435435435 3.82898575925 3.77084635571
-0.429429429429 3.85205968001 3.90957357804
-0.423423423423 3.87594760403 4.04169504979
-0.417417417417 3.9006085695 4.1667633164
-0.411411411411 3.92599881503 4.28429209486
-0.405405405405 3.95207153761 4.39375334353
-0.399399399399 3.97877663298 4.49457437541
-0.393393393393 4.00606041899 4.58613509706
-0.387387387387 4.03386534285 4.66776547819
-0.381381381381 4.06212967399 4.7387433836
-0.375375375375 4.0907871853 4.79829292965
-0.369369369369 4.11976682629 4.84558356139
-0.363363363363 4.14899239324 4.87973008379
-0.357357357357 4.17838220268 4.89979391918
-0.351351351351 4.20784877665 4.90478590236
-0.345345345345 4.23729854985 4.89367096114
-0.339339339339 4.26663161102 4.86537506008
-0.333333333333 4.29574149352 4.81879480436
-0.327327327327 4.3245150321 4.7528101016
-0.321321321321 4.35283230555 4.66630025626
-0.315315315315 4.38056668682 4.55816381417
-0.309309309309 4.40758502404 4.42734237614
-0.303303303303 4.43374797663 4.27284844998
